track_id,track_name,artist_name,album_name,release_date,explicit,duration_ms,popularity,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,album_artwork_url,is_feature,is_album_track
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,True,274192,88,0.898,0.472,0.214,101.061,-7.001,0.0776,0.0107,0.0,0.141,https://i.scdn.co/image/ab67616d00001e021ea0c62b2339cbf493a999ad,False,False
4S8PxReB1UiDR2F5x1lyIR,meet the grahams,Kendrick Lamar,meet the grahams,2024-05-03,True,392138,71,0.479,0.802,0.602,74.98,-6.252,0.309,0.55,0.00045,0.11,https://i.scdn.co/image/ab67616d00001e02ba8b74f6b8523c328be1bdd2,False,False
77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,euphoria,2024-04-30,True,383639,78,0.831,0.643,0.142,139.948,-5.002,0.11,0.046,0.0,0.084,https://i.scdn.co/image/ab67616d00001e027587213b1be294ac4000f648,False,False
5MMW4CZsZiZt2iuqAXzzWC,The Heart Part 5,Kendrick Lamar,The Heart Part 5,2022-05-08,True,332228,54,0.7,0.812,0.801,97.405,-8.128,0.297,0.183,0.0,0.0756,https://i.scdn.co/image/ab67616d00001e0289877ffdd584dc9b7168044b,False,False
65ES1qwOB577ZnTkizMXJJ,HUMBLE. - SKRILLEX REMIX,"Skrillex, Kendrick Lamar",HUMBLE. (SKRILLEX REMIX),2017-09-29,True,156800,65,0.901,0.934,0.868,150.037,-2.345,0.273,0.00794,7.68e-05,0.194,https://i.scdn.co/image/ab67616d00001e02bd01ceabd584855b2edd838d,False,False
1zayuwd1YLZsYDArkruHdL,The Heart Part 4,Kendrick Lamar,The Heart Part 4,2017-03-24,True,288554,47,0.669,0.434,0.55,129.326,-15.218,0.714,0.501,0.000125,0.271,https://i.scdn.co/image/ab67616d00001e02a688d4b1d37067e0e92fc886,False,False
6QvxTX9zvo4u7XhP9vOP3n,untitled 07 | levitate,Kendrick Lamar,untitled 07 | levitate,2016-03-23,True,146466,49,0.79,0.47,0.53,126.992,-8.594,0.223,0.49,0.0,0.0884,https://i.scdn.co/image/ab67616d00001e0295c7e3e167ae665f4a95bdf7,False,False
2kB3E1ne5D9EUguk7yct9g,Swimming Pools (Drank) - Black Hippy Remix,Kendrick Lamar,Swimming Pools (Drank) [Black Hippy Remix],2015-03-10,True,314893,35,0.709,0.525,0.303,73.912,-6.483,0.458,0.0478,0.0,0.103,https://i.scdn.co/image/ab67616d00001e0200744ad014439d488e458c59,False,False
6AdLUPGOVpHT4LAiWYktH0,County Building Blues,Kendrick Lamar,County Building Blues,2015-03-10,True,257706,45,0.499,0.778,0.586,105.091,-5.258,0.21,0.0523,0.0,0.0769,https://i.scdn.co/image/ab67616d00001e02db0131d989e948519937aa34,False,False
7wdzLe2Gsx1RGqbvYZHASz,i,Kendrick Lamar,i,2014-09-23,True,231933,67,0.755,0.884,0.897,121.927,-5.296,0.0638,0.0208,2.97e-06,0.248,https://i.scdn.co/image/ab67616d00001e026d89f336fbfbdf2089701da0,False,False
2Xjvo0g3jPZB8QgTmRv5oU,Two Presidents (feat. Kendrick Lamar),YG Hootie,Two Presidents,2013-12-03,True,230038,33,0.823,0.529,0.566,124.056,-7.041,0.252,0.477,0.0,0.104,https://i.scdn.co/image/ab67616d00001e026f7907fd1f9b2112a76ae361,True,False
0WkQfxU3podAt3UAenbzPd,"My People (feat. Jay Rock) (""Bastards of the Party"" Original Soundtrack Version)","Kendrick Lamar, Jay Rock","My People (feat. Jay Rock) (""Bastards of the Party"" Original Soundtrack Version)",2011-08-16,True,241086,37,0.738,0.484,0.49,87.922,-7.473,0.287,0.593,0.0,0.273,https://i.scdn.co/image/ab67616d00001e02471f3f28f660290c72fad4b6,True,False
2tudvzsrR56uom6smgOcSf,Like That (feat. Kendrick Lamar),Future,WE DON'T TRUST YOU,2024-03-22,True,267706,83,0.814,0.676,0.312,162.012,-4.67,0.231,0.00709,1.28e-05,0.119,https://i.scdn.co/image/ab67616d00001e02a46b07c291e6dfdee13b3ee8,True,False
0D3Myb8AY4siH5migv1lDg,Kali Love (feat. Kendrick Lamar),YG Hootie,Bompton King,2023-12-13,True,195623,31,0.842,0.548,0.68,94.008,-13.688,0.0575,0.201,1.13e-05,0.329,https://i.scdn.co/image/ab67616d00001e026bfd43bc7d0bee5bb30596ab,True,False
6qAcApH8obo8eqatCKUHd9,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2023-10-27,False,199773,70,0.604,0.644,0.197,170.088,-6.931,0.0889,0.0143,0.0,0.237,https://i.scdn.co/image/ab67616d00001e02dc2bacae1dca83d26e2b1949,True,False
6l8mgVN9Xf1hiDIFGA6CTE,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2023-05-19,True,260962,62,0.784,0.7,0.204,126.015,-5.289,0.0396,0.0112,1.76e-05,0.163,https://i.scdn.co/image/ab67616d00001e0278643be90cd7c5ec75675855,True,False
3zdsJOO5FIAgukJUMgboV8,"Drones (feat. Kendrick Lamar, Snoop Dogg, Ty Dolla $ign & James Fauntleroy)",Terrace Martin,DRONES,2021-11-05,True,265357,0,0.758,0.619,0.597,100.916,-4.238,0.108,0.0366,0.0,0.448,https://i.scdn.co/image/ab67616d00001e0248b8a1744d1166c4e48b2cfb,True,False
1ITpqT1kDATCtMBwOK7sYn,vent (feat. Kendrick Lamar),Baby Keem,The Melodic Blue,2021-09-10,True,136572,64,0.896,0.377,0.255,113.886,-5.502,0.0935,0.0123,1.43e-06,0.115,https://i.scdn.co/image/ab67616d00001e021bfa23b13d0504fb90c37b39,True,False
0UTyLmkQgPOEIz95OVAJTR,range brothers (feat. Kendrick Lamar),Baby Keem,The Melodic Blue,2021-09-10,True,316733,58,0.667,0.582,0.141,121.972,-5.791,0.267,0.00466,0.0,0.124,https://i.scdn.co/image/ab67616d00001e021bfa23b13d0504fb90c37b39,True,False
05zwCq9PsWpbDNLBKwQvY6,KDOT FREES (feat. Kendrick Lamar),Cookin Soul,"Whateva, Vol. 4",2020-12-14,True,125581,19,0.725,0.924,0.574,172.221,-5.049,0.3,0.678,3.96e-06,0.0848,https://i.scdn.co/image/ab67616d00001e02cd962e780ee331aa8ba361ed,True,False
5aULAy3NUfelCYKub4mOS9,Look Over Your Shoulder (feat. Kendrick Lamar),Busta Rhymes,Look Over Your Shoulder (feat. Kendrick Lamar),2020-10-29,True,248810,0,0.6,0.887,0.681,77.896,-4.345,0.311,0.0438,0.0,0.68,https://i.scdn.co/image/ab67616d00001e0291006a7926abc8d892f0f932,True,False
4o7sl87Ock4SGA8b3gRR2l,Show Stop (feat. Kendrick Lamar),REASON,New Beginnings,2020-10-09,True,179233,43,0.751,0.725,0.544,129.977,-4.495,0.0397,0.0755,0.00102,0.12,https://i.scdn.co/image/ab67616d00001e023907a711fe2eaf9f50585572,True,False
58W1CiMU6C31p5RTeUyyjN,Rearview (feat. Kendrick Lamar),Raphael Saadiq,Jimmy Lee,2019-08-23,False,148373,11,0.738,0.701,0.271,93.055,-7.164,0.0415,0.054,0.127,0.133,https://i.scdn.co/image/ab67616d00001e028c45f913d75ae04a12b60d6f,True,False
4sFzG7iUlyPmuyASCkre9A,Hair Down (feat. Kendrick Lamar),SiR,Chasing Summer,2019-08-30,True,216933,1,0.793,0.489,0.47,120.097,-10.984,0.284,0.25,0.000101,0.432,https://i.scdn.co/image/ab67616d00001e02bbee5481e94a03f4fd26fac4,True,False
3McqlOuQytkdtaMYAicbW5,Mirrors (Thuggin) (feat. Kendrick Lamar),Lotus,Mirrors (Thuggin),2019-08-16,False,200000,18,0.772,0.704,0.575,119.999,-7.324,0.0604,0.0512,9.03e-06,0.147,https://i.scdn.co/image/ab67616d00001e0219e914879c35287d44f6c19a,True,False
0lboDHM9hSR5j5CFlWDR9k,NILE (feat. Kendrick Lamar),Beyoncé,The Lion King: The Gift,2019-07-19,False,107204,45,0.484,0.457,0.342,83.493,-9.458,0.204,0.738,0.0,0.536,https://i.scdn.co/image/ab67616d00001e024ccc03169b086af698178a99,True,False
6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby) (feat. Kendrick Lamar),Dreamville,Revenge Of The Dreamers III,2019-07-05,True,202040,69,0.691,0.64,0.163,138.672,-6.441,0.369,0.511,0.0,0.409,https://i.scdn.co/image/ab67616d00001e02c0ae820e3b64854de4642101,True,False
7jKUnzzOGhAlPjr7LkIUlE,Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz,Rap Or Go To The League,2019-03-01,True,173760,45,0.796,0.467,0.399,179.974,-6.293,0.34,0.202,3.58e-05,0.206,https://i.scdn.co/image/ab67616d00001e0284f49cbc39ac1f18422a4d42,True,False
7c3SbTuufigBWURcICnAWy,Tints (feat. Kendrick Lamar),Anderson .Paak,Oxnard,2018-11-16,True,268400,55,0.805,0.833,0.703,109.076,-6.73,0.12,0.0859,0.0,0.0578,https://i.scdn.co/image/ab67616d00001e02524aa1b58c9b19480d8ee703,True,False
0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,Tha Carter V,2018-09-28,True,324189,66,0.856,0.694,0.489,122.08,-4.393,0.169,0.371,0.0,0.109,https://i.scdn.co/image/ab67616d00001e02bb1138165ad4ec2306f4e886,True,False
12rbR0qoFJQ7rRGzgXrzHy,Wow Freestyle (feat. Kendrick Lamar),Jay Rock,Redemption,2018-06-15,True,175213,0,0.782,0.633,0.749,150.055,-4.644,0.341,0.0355,0.0,0.0615,https://i.scdn.co/image/ab67616d00001e026d7a10a53a81e70629be9aff,True,False
69WMdZSqdQwFgLVpbMsZ2J,WIN (feat. Kendrick Lamar),Jay Rock,Redemption,2018-06-15,True,215226,57,0.879,0.595,0.355,125.994,-2.936,0.0889,0.0152,0.0,0.391,https://i.scdn.co/image/ab67616d00001e02c30d59775ce5ef3f59138f59,True,False
6fIjnWrv46njJHLDAY2JdC,Dedication (feat. Kendrick Lamar),Nipsey Hussle,Victory Lap,2018-02-16,True,245813,53,0.512,0.734,0.168,93.995,-5.448,0.438,0.431,0.0,0.226,https://i.scdn.co/image/ab67616d00001e02ac271e5d670e92c42bf99237,True,False
4J56uEZtgVjuTi27Rvclag,Hustla’s Story (feat. Kendrick Lamar),Cozz,Effected,2018-02-13,True,268371,37,0.664,0.834,0.385,140.116,-3.461,0.838,0.236,0.0,0.744,https://i.scdn.co/image/ab67616d00001e028332ef6f54af77c789e58cbe,True,False
76iVOVsliCHlWqKuDnCfhE,Redemption (with Babes Wodumo) (feat. Kendrick Lamar),Zacari,Black Panther The Album Music From And Inspired By,2018-02-09,True,222093,48,0.778,0.764,0.642,125.062,-7.175,0.127,0.139,0.0274,0.123,https://i.scdn.co/image/ab67616d00001e02c027ad28821777b00dcaa888,True,False
2tPcTFiQF9MbVUyjZ3zDhA,Paramedic! (feat. Kendrick Lamar),SOB X RBE,Black Panther The Album Music From And Inspired By,2018-02-09,True,219306,59,0.856,0.653,0.471,97.017,-5.324,0.143,0.178,0.0,0.193,https://i.scdn.co/image/ab67616d00001e02c027ad28821777b00dcaa888,True,False
0DJBgBiYeSn6n1AXAkFVE8,I Am (feat. Kendrick Lamar),Jorja Smith,Black Panther The Album Music From And Inspired By,2018-02-09,True,208760,52,0.601,0.582,0.315,148.776,-5.725,0.264,0.143,9.78e-05,0.183,https://i.scdn.co/image/ab67616d00001e02c027ad28821777b00dcaa888,True,False
7bUcBztfGqO7cSI2gMZeCI,Opps (with Yugen Blakrok) (feat. Kendrick Lamar),Vince Staples,Black Panther The Album Music From And Inspired By,2018-02-09,True,180893,50,0.706,0.775,0.848,127.929,-6.819,0.335,0.152,3.4e-05,0.416,https://i.scdn.co/image/ab67616d00001e02c027ad28821777b00dcaa888,True,False
4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi) (feat. Kendrick Lamar),ScHoolboy Q,Black Panther The Album Music From And Inspired By,2018-02-09,True,267426,59,0.776,0.471,0.405,131.018,-8.406,0.253,0.0203,0.0,0.268,https://i.scdn.co/image/ab67616d00001e02c027ad28821777b00dcaa888,True,False
6huNf4dutXRjJyGn7f5BPS,Pray For Me (feat. Kendrick Lamar),The Weeknd,The Highlights,2021-02-05,True,211420,75,0.732,0.678,0.196,100.626,-4.977,0.0886,0.0867,2.41e-05,0.112,https://i.scdn.co/image/ab67616d00001e0212a76d1b13ef07188f7dfbc9,True,False
6jfpkIQbqY5lraWp0Uo9aQ,American Soul (feat. Kendrick Lamar),U2,Songs Of Experience (Deluxe Edition),2017-12-01,False,261733,34,0.58,0.801,0.371,130.024,-7.854,0.0577,0.0367,2.16e-05,0.261,https://i.scdn.co/image/ab67616d00001e021721039eb3dfadd939938d70,True,False
65UcBkHqJoIk33vfxqUzvm,Kites (feat. Kendrick Lamar),N.E.R.D,NO ONE EVER REALLY DIES,2017-12-15,True,290933,37,0.571,0.725,0.687,200.03,-6.809,0.397,0.104,0.0,0.0856,https://i.scdn.co/image/ab67616d00001e02be23f47224937c9b57a004b2,True,False
2svutFGaCycRmYc1mWbfQh,Don't Don't Do It! (feat. Kendrick Lamar),N.E.R.D,NO ONE EVER REALLY DIES,2017-12-15,True,257706,42,0.799,0.871,0.811,77.013,-5.784,0.138,0.12,0.0,0.0688,https://i.scdn.co/image/ab67616d00001e02be23f47224937c9b57a004b2,True,False
6zDxqK3JUFyLelnMGpYzOj,American Dream (feat. Kendrick Lamar),Jeezy,"American Dream (Feat. J. Cole, Kendrick Lamar)",2017-12-14,True,249040,0,0.639,0.845,0.615,76.973,-5.707,0.186,0.0603,0.0,0.303,https://i.scdn.co/image/ab67616d00001e029bba54b6670c0f9423d90751,True,False
3A2OHirUAlQp2x73BJlEDA,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",Mike WiLL Made-It,Ransom 2,2017-03-24,True,240926,48,0.741,0.562,0.292,180.068,-5.474,0.165,0.172,0.0,0.0751,https://i.scdn.co/image/ab67616d00001e0287f32427f479a260cd94f8e5,True,False
73jSeqBx0iEL7Hqtcp4UTY,The City (feat. Kendrick Lamar),YG Hootie,The City (feat. Kendrick Lamar),2017-10-11,True,207281,15,0.867,0.496,0.265,93.97,-11.415,0.45,0.225,0.0,0.305,https://i.scdn.co/image/ab67616d00001e0257d86d69da59582b1f9ab853,True,False
4PsVJAD9nDnunErLsh1FoD,"Cold Summer (feat. Kendrick Lamar, Mac Miller, Kevin Gates & Rell) (feat. Kendrick Lamar, Mac Miller, Kevin Gates & Rell)",DJ Kay Slay,"Cold Summer (feat. Kendrick Lamar, Mac Miller, Kevin Gates & Rell)",2017-08-29,True,265349,19,0.507,0.872,0.433,82.824,-3.625,0.307,0.0329,0.0,0.201,https://i.scdn.co/image/ab67616d00001e02c154da6a3e26085a55bb1a83,True,False
4DxaBl7XTThDb9zRZjIWOB,Power (feat. Kendrick Lamar),Rapsody,Laila’s Wisdom,2017-09-22,True,334786,33,0.441,0.854,0.597,81.309,-5.509,0.486,0.00274,0.0,0.175,https://i.scdn.co/image/ab67616d00001e022a1b6193d2f7f69d113a7ed0,True,False
5ZrDbBB4UhYMsPA3xRKOzV,Yeah Right (feat. Kendrick Lamar),Vince Staples,Big Fish Theory,2017-06-23,True,188946,0,0.669,0.484,0.251,117.929,-9.026,0.121,0.0154,0.0,0.489,https://i.scdn.co/image/ab67616d00001e0217f513ca86c795609ea29a80,True,False
593W4qZOwwdqF6YnimJjL6,Doves In The Wind (feat. Kendrick Lamar),SZA,Ctrl,2017-06-09,True,266080,67,0.693,0.713,0.615,137.335,-4.489,0.351,0.343,0.0,0.102,https://i.scdn.co/image/ab67616d00001e024c79d5ec52a6d0302f3add25,True,False
2EgB4n6XyBsuNUbuarr4eG,New Freezer (feat. Kendrick Lamar),Rich The Kid,The World Is Yours,2018-03-30,True,191937,58,0.885,0.698,0.577,140.07,-9.101,0.364,0.0399,0.0,0.195,https://i.scdn.co/image/ab67616d00001e0264353426de6dfe0206f6d1d3,True,False
6dVZCbi9CYtD9LjAHXRjIG,Mask Off (feat. Kendrick Lamar) - Remix,Future,FUTURE,2017-06-30,True,258426,59,0.72,0.424,0.228,150.01,-11.964,0.387,0.0122,0.0126,0.453,https://i.scdn.co/image/ab67616d00001e02e0b64c8be3c4e804abcb2696,True,False
6fkL9CjWmjeV6vfDxTp9OZ,Walk On By (feat. Kendrick Lamar),Thundercat,Drunk,2017-02-24,True,199136,62,0.825,0.302,0.747,94.956,-11.651,0.282,0.204,0.0,0.0762,https://i.scdn.co/image/ab67616d00001e0285c5e6c686ced3e43bae2748,True,False
6dWf1xaHOmJo7eL9WuSkdL,Goosebumps (feat. Kendrick Lamar),Travis Scott,The Hate U Give (Original Motion Picture Soundtrack),2018-10-12,True,243840,58,0.849,0.629,0.467,130.103,-6.27,0.0475,0.0795,0.0,0.13,https://i.scdn.co/image/ab67616d00001e020bffddcd4c83baab8303c44d,True,False
4h90qkbnW1Qq6pBhoPvwko,Sidewalks (feat. Kendrick Lamar),The Weeknd,Starboy,2016-11-25,True,231360,69,0.542,0.72,0.623,149.828,-5.136,0.0628,0.147,0.0,0.348,https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452,True,False
3MDcFMG1AYBPcRpYOdwDYl,Conrad Tokyo (feat. Kendrick Lamar & Jack White),A Tribe Called Quest,We got it from Here... Thank You 4 Your service,2016-11-11,True,211986,48,0.676,0.609,0.236,95.245,-7.233,0.0918,0.602,0.0391,0.103,https://i.scdn.co/image/ab67616d00001e0289450c8e877bf04203b86819,True,False
1nueTG77MzNkJTKQ0ZdGzT,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,Red Pill Blues (Deluxe),2018-06-15,False,214265,60,0.783,0.611,0.418,100.049,-6.124,0.0695,0.343,0.0,0.0983,https://i.scdn.co/image/ab67616d00001e02fc4852898bc6ed85b3e3f89c,True,False
6dNxhBjjZGmn8mBM6KrhtJ,Really Doe (feat. Kendrick Lamar),Danny Brown,Really Doe,2016-09-20,False,319433,0,0.692,0.983,0.792,75.992,-3.469,0.29,0.0417,0.0,0.21,https://i.scdn.co/image/ab67616d00001e0285f67b0d990899a64f283618,True,False
6hzbRKhJHo6cfCHSnNaDS8,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,The Divine Feminine,2016-09-16,True,500960,61,0.467,0.41,0.136,95.931,-12.028,0.185,0.328,4.28e-05,0.113,https://i.scdn.co/image/ab67616d00001e022e92f776279eaf45d14a33fd,True,False
